30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,B4:79:C8:45:BA:58,90:3A:72:24:EF:E8,B4:79:C8:45:C2:D8,90:3A:72:24:E9:68,B4:79:C8:38:AB:18,30:87:D9:41:4A:48,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50
0,0,0,0,0,-89,0,0,0,0,0,0,-89
-58,-69,-73,-87,-85,-90,0,0,0,0,0,0,0
-55,-65,-69,-82,-86,0,0,0,0,0,-90,0,0
-53,-71,-71,-84,-88,0,-88,0,0,0,0,0,0
-53,-66,-73,-86,-85,0,-90,0,0,0,-90,0,0
-49,-68,-72,-88,-85,0,0,0,0,0,0,0,0
-49,-66,-80,-87,-83,-88,0,0,0,0,0,0,0
-52,-72,-81,-88,-85,-88,0,0,0,0,0,0,0
-52,-69,-73,-85,-86,0,0,0,0,0,0,0,0
-53,-69,-75,-87,-86,0,-91,0,0,0,0,0,0
-49,-67,-77,-90,-89,-89,-88,0,0,0,-92,0,0
-57,-68,-84,-91,-83,0,-91,0,0,0,0,0,0
