B4:79:C8:45:C2:D8,30:87:D9:02:FA:C8,B4:79:C8:05:B9:A8,90:3A:72:25:03:C8,90:3A:72:24:EF:E8,30:87:D9:81:3B:38,B4:79:C8:05:C2:38,90:3A:72:24:E9:68,80:BC:37:63:DF:50,30:87:D9:41:4E:88,D0:4F:58:52:D2:A0,20:58:69:0E:B5:78
0,0,0,0,0,0,0,0,0,0,-91,-91
0,-67,-70,-80,-84,0,0,0,-90,0,-92,0
0,-64,-70,-78,-81,0,0,0,-87,0,-90,0
0,-67,-68,-82,-83,0,0,0,-90,0,-89,-93
0,-62,-67,-79,-86,-91,0,0,-85,0,-89,-92
0,-63,-67,-81,-84,0,0,0,0,0,-88,0
-90,-63,-67,-83,-83,0,0,0,-88,0,-89,0
-89,-58,-66,-78,-80,0,0,0,-84,0,-88,0
-90,-61,-68,-82,-84,0,0,0,-88,0,-90,-90
-94,-61,-66,-82,-83,0,0,0,-87,0,-89,0
-89,-59,-66,-81,-83,0,0,0,0,0,-89,-88
-90,-61,-68,-82,-82,0,0,0,-88,0,-90,-93
